time_to_intercept,miss_distance,settling_time,energy,type,Kp,Kd,cpu_time,noise,max_acc,disturbance
,4.4656861884150985,,561.4213038843382,Gain,1.0,1.0,0.0035970211029052734,,,
,3.7495454381690014,,1487.3446477960454,Gain,2.0,1.0,0.003412961959838867,,,
,1.0508894809197475,,2759.069250132228,Gain,4.0,1.0,0.0034089088439941406,,,
,3.7495454381690014,,1487.3446477960454,Noise,,,0.0033957958221435547,0.0,,
,3.735071267605089,,1490.8094068074026,Noise,,,0.0034780502319335938,0.1,,
,3.8223090810849816,,1499.2382245164372,Noise,,,0.003499746322631836,0.3,,
13.100000000000001,0.2594357683865204,,19.964939381592117,Actuator,,,0.004348039627075195,,1.0,
,1.2884603732736288,,80.0,Actuator,,,0.004327058792114258,,2.0,
,2.6875256599257744,,180.0,Actuator,,,0.00433802604675293,,3.0,
,3.7495454381690014,,1487.3446477960454,Disturbance,,,0.003469705581665039,,,False
,3.750239208037344,,1486.2522767610412,Disturbance,,,0.003802061080932617,,,True
